,Time,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT,KHOU,KHOU_squared,orig.id
30831,7/9/13 4:00,9778.032632,1263.043926,1569.874656,849.1056623,12026.73538,2723.80947,5426.645247,981.5085334,34618.75551,80.762,6522.500644,30831
39584,7/8/14 23:00,13691.10827,1766.946342,2212.357295,1055.194491,17225.33382,3894.937274,8290.184849,1388.495852,49524.55819,80.762,6522.500644,39584
39367,6/29/14 22:00,14333.70842,1756.127865,2250.729411,1079.221782,17402.81035,4154.397767,8741.644838,1431.695889,51150.33631,87.962,7737.313444,39367
17032,12/11/11 20:00,9987.948028,1372.658848,1605.65058,914.0665423,13260.3229,3150.048086,6646.532787,1216.415844,38153.64362,57.362,3290.399044,17032
39924,7/23/14 3:00,11323.39802,1259.563351,1952.296045,802.788314,12202.47271,3197.483064,6126.289145,1084.558055,37948.8487,80.762,6522.500644,39924
39052,6/16/14 19:00,16245.95428,1989.110322,2372.518593,1184.977878,19747.17213,4640.467563,9788.025141,1517.681335,57485.90725,89.762,8057.216644,39052
18442,2/8/12 23:00,8677.692355,1293.741645,1465.52832,851.0938076,12567.79516,2733.00906,5718.561192,1061.753597,34369.17513,57.362,3290.399044,18442
43900,1/4/15 19:00,10933.5407,1663.655961,1691.84424,989.4677422,15840.97317,3231.207967,7116.435323,1287.76469,42754.88979,53.762,2890.352644,43900
35513,1/20/14 8:00,10046.22227,1443.045784,1893.995217,860.7190107,12665.69634,2597.313429,5932.693964,1178.314369,36618.00038,46.562,2168.019844,35513
18837,2/25/12 10:00,8733.123376,1350.575449,1464.754655,794.5201814,11940.0126,2925.749267,5787.143432,1094.691962,34090.57093,53.762,2890.352644,18837
9235,1/20/11 23:00,10610.91432,1850.15877,1492.921827,1084.080981,16581.82266,2758.170242,7236.226467,1263.863988,42878.15925,46.562,2168.019844,9235
13661,7/24/11 9:00,10404.91586,1431.135008,1390.799083,948.2512233,13728.60528,3111.343032,6301.112499,1058.474199,38374.63619,78.962,6234.997444,13661
55938,5/20/16 12:00,11949.72718,1276.251261,2055.146155,726.3207912,11707.45234,3279.676173,5826.748975,1017.405243,37838.72812,69.062,4769.559844,55938
49059,8/7/15 21:00,16928.21571,2144.549635,2572.509052,1255.227426,21293.34395,4683.052679,10512.71126,1665.314919,61054.92463,96.062,9227.907844,49059
36874,3/18/14 1:00,8396.773799,1141.206283,1694.618334,690.0676322,9647.60673,2083.385442,4327.517783,961.2158338,28942.39184,53.762,2890.352644,36874
9317,1/24/11 9:00,9558.001396,1594.478237,1448.796326,1082.177646,16675.02187,2890.100217,6645.743736,1250.809758,41145.12918,53.762,2890.352644,9317
53765,2/19/16 23:00,9834.032391,1072.945429,1996.453425,664.763968,10292.71432,2807.160932,5421.020593,923.4733469,33012.5644,73.112,5345.364544,53765
38460,5/23/14 3:00,9087.317481,1112.225103,1714.125916,716.41075,9823.182346,2561.293089,4911.337255,943.3372003,30869.22914,73.562,5411.367844,38460
19655,3/30/12 12:00,10553.91551,1251.926206,1410.077178,759.3034642,11855.55977,2990.518504,5986.835888,1061.767483,35869.904,69.962,4894.681444,19655
50247,9/26/15 9:00,10129.05407,1111.148755,1922.285699,713.2570981,10728.34964,2724.099583,5299.538422,997.8961489,33625.62941,71.762,5149.784644,50247
19719,4/2/12 4:00,8390.560769,971.4682492,1218.670155,615.2070281,8619.027648,2279.013144,4264.054493,803.9814642,27161.98295,73.562,5411.367844,19719
9339,1/25/11 7:00,9716.153677,1622.195877,1508.859571,1004.929366,14968.48391,3053.782134,6832.684296,1181.304627,39888.39346,51.962,2700.049444,9339
